Date,Week,Period,Customer,Sales Channel,Sales Rep,Item Class,Coffee Size,Item / Memo,Document Number,Location,Revenue,Quantity,Units Sold,Unit,Unit Multiplier,Package Lbs,Weight Source,Multiplier Source,Weight Review,Lbs,$/LB,Snapshot Date
2026-06-16,(26-Jun) 25,Jun 2026,Hyatt Centric The Pike,Foodservice : Foodservice Direct,Jonathan Ghattas,Finished Goods: Cold Brew,- None -,"CB Classic Concentrate,1 Gallon",INV845759,LA : 1ROASTERY (LA),59.68,2.0,2.0,,1.0,0.0,Fallback parser,Legacy fallback,True,0.0,0.0,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,Steven Luthy,Foodservice : Foodservice Direct,- House Account -,Finished Goods: Roasted Coffee,5lb,Org Black Magic GW (5lb) Espresso,INV845760,PNW : 2ROASTERY (PNW),90.78,1.0,1.0,,1.0,5.0,Sum of # of Units x weight by lbs,Not used - authoritative units,False,5.0,18.156,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,Roth's Food Center,Foodservice : Foodservice Direct,Megan Adams,Finished Goods: Roasted Coffee,5lb,Conv Cof: French Roast Kobos (5lb) WB,INV845761,PNW : 2ROASTERY (PNW),68.89,1.0,1.0,,1.0,5.0,Sum of # of Units x weight by lbs,Not used - authoritative units,False,5.0,13.778,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,Roth's Food Center,Foodservice : Foodservice Direct,Megan Adams,Finished Goods: Roasted Coffee,5lb,Conv Cof: Espresso Classico Kobos (5lb) WB,INV845761,PNW : 2ROASTERY (PNW),70.42,1.0,1.0,,1.0,5.0,Sum of # of Units x weight by lbs,Not used - authoritative units,False,5.0,14.084,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,Roth's Food Center,Foodservice : Foodservice Direct,Megan Adams,Finished Goods: Roasted Coffee,5lb,Conv Decaf: Bistro Blend Kobos (5lb) WB,INV845761,PNW : 2ROASTERY (PNW),71.95,1.0,1.0,,1.0,5.0,Sum of # of Units x weight by lbs,Not used - authoritative units,False,5.0,14.39,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,Market of Choice,Grocery : Grocery Direct,Kristen Springer,Finished Goods: Roasted Coffee,12oz,Org Bitches Brew GW (12oz),INV845762,PNW : 2ROASTERY (PNW),62.58,1.0,6.0,,1.0,0.75,Sum of # of Units x weight by lbs,Not used - authoritative units,False,4.5,13.906666666666666,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,Market of Choice,Grocery : Grocery Direct,Kristen Springer,Finished Goods: Roasted Coffee,12oz,Org Lucky Jack GW (12oz),INV845762,PNW : 2ROASTERY (PNW),62.58,1.0,6.0,,1.0,0.75,Sum of # of Units x weight by lbs,Not used - authoritative units,False,4.5,13.906666666666666,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,Market of Choice,Grocery : Grocery Direct,Kristen Springer,Finished Goods: Roasted Coffee,12oz,Org Colombia GW (12oz),INV845762,PNW : 2ROASTERY (PNW),62.58,1.0,6.0,,1.0,0.75,Sum of # of Units x weight by lbs,Not used - authoritative units,False,4.5,13.906666666666666,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,Market of Choice,Grocery : Grocery Direct,Kristen Springer,Finished Goods: Roasted Coffee,12oz,Org Ethiopia Heirloom Bl GW (12oz),INV845762,PNW : 2ROASTERY (PNW),62.58,1.0,6.0,,1.0,0.75,Sum of # of Units x weight by lbs,Not used - authoritative units,False,4.5,13.906666666666666,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,GWC Samples,Foodservice : Foodservice Direct,- House Account -,Merchandise & Apparel,- None -,"GW T-Shirt - White, Large",INV845763,LA : 1ROASTERY (LA),19.81,1.0,1.0,,1.0,0.0,Fallback parser,Legacy fallback,True,0.0,0.0,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,UNFI - United Natural Foods Inc.,Grocery : Grocery Distributor,Kristen Springer,Finished Goods: Roasted Coffee,12oz,Org Bitches Brew GW (12oz),INV845764,LA : 1ROASTERY (LA),3682.8,60.0,6.0,,1.0,0.75,Sum of # of Units x weight by lbs,Not used - authoritative units,False,4.5,818.4000000000001,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,UNFI - United Natural Foods Inc.,Grocery : Grocery Distributor,Kristen Springer,Finished Goods: Roasted Coffee,12oz,Org Ethiopia Heirloom Bl GW (12oz),INV845764,LA : 1ROASTERY (LA),2455.2,40.0,6.0,,1.0,0.75,Sum of # of Units x weight by lbs,Not used - authoritative units,False,4.5,545.5999999999999,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,Sysco Food Services of Ptld,Foodservice : Foodservice Distributor,Megan Adams,Finished Goods: Roasted Coffee,5lb,Conv Cof: Kobos Bistro Blend (5lb) Drip/Pour Over,INV845765,PNW : 2ROASTERY (PNW),845.04,12.0,1.0,,1.0,5.0,Sum of # of Units x weight by lbs,Not used - authoritative units,False,5.0,169.00799999999998,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,Bristol Farms Group,Foodservice : Foodservice Direct,Phil Hand,Finished Goods: Cold Brew,- None -,"CB Classic Concentrate,1 Gallon",INV845766,LA : 1ROASTERY (LA),29.84,1.0,1.0,,1.0,0.0,Fallback parser,Legacy fallback,True,0.0,0.0,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,OHSU - Oregon Health & Science University,Foodservice : Foodservice Direct,Ken Kiggins,Disposables,- None -,Java Jackets Large Assembled 1300ct,INV845767,PNW : 2ROASTERY (PNW),55.41,1.0,1.0,,1.0,0.0,Fallback parser,Legacy fallback,True,0.0,0.0,2026-07-21
2026-06-16,(26-Jun) 25,Jun 2026,OHSU - Oregon Health & Science University,Foodservice : Foodservice Direct,Ken Kiggins,Ancillary Products,- None -,David Rio Tiger Chai - 4 lb bag,INV845767,PNW : 2ROASTERY (PNW),77.08,2.0,2.0,,1.0,0.0,Fallback parser,Legacy fallback,True,0.0,0.0,2026-07-21
